Trait	Author	Accession	PubMed_ID	Assembly	http_link
Intracerebral hemorrhage	Sakaue S	GCST90018870	34594039	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018870/GCST90018870_buildGRCh37.tsv.gz
Schizophrenia	Trubetskoy	scz2022	35396580	https://doi.org/10.6084/m9.figshare.19426775|PGC3_SCZ_wave3.european.autosome.public.v3.vcf.tsv.gz
ADHD	Demontis D	adhd2022	36702997	GRCh37	https://doi.org/10.6084/m9.figshare.22564390|ADHD2022_iPSYCH_deCODE_PGC.meta.gz
Autism spectrum disorder	Grove J	asd2019	30804558	GRCh37	https://doi.org/10.6084/m9.figshare.14671989|iPSYCH-PGC_ASD_Nov2017.gz
Panic disorder	Forstner AJ	panic2019	31712720	GRCh37	https://doi.org/10.6084/m9.figshare.16602218|pgc-panic2019.vcf.tsv.gz
Bipolar disorder	Mullins N	bip2021	34002096	GRCh37	https://doi.org/10.6084/m9.figshare.14102594|pgc-bip2021-all.vcf.tsv.gz
Major depression	Guintivano J	ppd2023	37849304	GRCh37	https://doi.org/10.6084/m9.figshare.24204843|ppd2023_EUR_sumstats.tsv.gz
Cerebrospinal fluid volume measurement	Fitzgerald T	GCST90103381	36779085	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90103001-GCST90104000/GCST90103381/GCST90103381_buildGRCh38.txt
Total cerebral volume	Tissink E	GCST90105076	35842455	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90105001-GCST90106000/GCST90105076/GCST90105076_buildGRCh37.tsv.gz
Frontal lobe volume	van der Lee SJ	GCST008715	31396565	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008715/vanderLeeSJ_prePMID_FLV_EAonly.txt.gz
Occipital lobe volume	van der Lee SJ	GCST008703	31396565	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008703/vanderLeeSJ_prePMID_OLV_EAonly.txt.gz
Parietal lobe volume	van der Lee SJ	GCST008704	31396565	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008704/vanderLeeSJ_prePMID_PLV_EAonly.txt.gz
Temporal lobe volume	van der Lee SJ	GCST008705	31396565	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008705/vanderLeeSJ_prePMID_TLV_EAonly.txt.gz
Brain stem volume	Furtjes AE	GCST90085819	36987996	GRCh38	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90085001-GCST90086000/GCST90085819/GCST90085819_buildGRCh38.tsv.gz
Cognitive aspects of educational attainment	Demange PA	GCST90011875	33414549	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011875/GCST90011875_buildGRCh37.tsv.gz
Age when finished full-time education	Schoeler T	GCST90267280	37106081	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267280/GCST90267280_buildGRCh37.tsv
Educational attainment - years of education	Okbay A	GCST003676	27225129	unknown	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003676/Okbay_27225129-EduYears_Main.txt.gz
TREM2 in cerebrospinal fluid	Wang L	TREM22024	https://molecularneurodegeneration.biomedcentral.com/articles/10.1186/s13024-023-00687-4,GRCh38,https://ontime.wustl.edu/download/TREM2-CSF-1|phenocode-TREM2-CSF-1.tsv.gz
Alzheimer disease 2	Jansen IE	GCST007320	30617256	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007320/AD_sumstats_Jansenetal_2019sept.txt.gz
Alzheimer disease 3	Marioni RE	GCST005922	29777097	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005922/4_UK_Biobank_IGAP_17May2018
Myocardial infarction	Hartiala JA	GCST011365	33532862	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST011001-GCST012000/GCST011365/GCST011365_buildGRCh37.tsv
Atrial fibrillation	Roselli C	GCST006061	29892015	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006061/harmonised/29892015-GCST006061-EFO_0000275-build37.f.tsv.gz
Coronary artery disease	Aragam KG	GCST90132314	36474045	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90132001-GCST90133000/GCST90132314/GCST90132314_buildGRCh37.tsv
Heart failure	Levin MG	GCST90162626	36376295	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90162001-GCST90163000/GCST90162626/GCST90162626_buildGRCh37.tsv.gz
Posterior thigh muscle fat infiltration percentage	van der Meer D	GCST90267355	36402844	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90267001-GCST90268000/GCST90267355/GCST90267355.tsv.gz
Basal cell carcinoma (MTAG)	Seviiri M	GCST90137411	36496446	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90137001-GCST90138000/GCST90137411/GCST90137411_buildGRCh37.tsv.gz
Skin cancer	Sakaue S	GCST90018921	34594039	GRCh37	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018921/harmonised/34594039-GCST90018921-EFO_0004198-Build37.f.tsv.gz
Amyotrophic lateral sclerosis	Nicolas A	GCST005647	29566793	unknown https://ftp.ebi.ac.uk/pddub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005647/alsMetaSummaryStats_march21st2018.txt
